split,train_videos,test_videos,random,center,global_mean,duration_prior,vlm,vlm_prior_blend,shipped_prior_full_fit
0,181,46,0.2597,0.4991,0.5128,0.5440,0.4765,0.5420,0.5670
1,181,46,0.2989,0.5558,0.5890,0.5993,0.4608,0.5876,0.6171
2,182,45,0.2681,0.4829,0.4835,0.5154,0.4652,0.5522,0.5145
3,182,45,0.2788,0.5417,0.5623,0.5653,0.4370,0.5275,0.5904
4,182,45,0.2652,0.5206,0.5370,0.5591,0.4691,0.5384,0.5728
mean,,,0.2741,0.5200,0.5369,0.5566,0.4617,0.5495,0.5724
std,,,0.0155,0.0299,0.0412,0.0307,0.0150,0.0230,0.0378
